Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,,,,,,,,,,
Estaci�n: 46250050-Val�ncia - Bulevard Sud,,,,,,,,,,,,,,,,,,,

FECHA,NO,NO2,PM10,Ni,NOx,O3,As,Pb,BaP,Cd,NH3,FA,DahA,IcdP,BkFA,BjFA,BbFA,BaA,SO2
27/11/2020,6,26,18,"1,07",34,69,"0,14","0,01",,"0,02",6,,,,,,,,3
28/11/2020,8,30,14,,42,35,,,,,4,,,,,,,,3
29/11/2020,13,24,18,"0,79",43,34,"0,69","0,01",,"0,02",4,,,,,,,,4
30/11/2020,48,42,30,,116,24,,,,,3,,,,,,,,6
01/12/2020,,,33,"2,5",,,"1,53","0,01",,"0,26",,,,,,,,,
02/12/2020,11,35,,,51,40,,,,,2,,,,,,,,4
03/12/2020,13,24,14,"1,11",44,45,"0,28","0,01",,"0,08",2,,,,,,,,4
04/12/2020,3,19,7,,24,58,,,,,2,,,,,,,,3
05/12/2020,3,11,6,"1,67",15,57,"0,14","0,01",,"0,03",1,,,,,,,,4
06/12/2020,2,5,7,,8,65,,,,,1,,,,,,,,4
07/12/2020,3,9,5,"0,42",13,69,"0,14",0,,"0,01",1,,,,,,,,5
08/12/2020,2,7,0,,10,74,,,,,1,,,,,,,,4
09/12/2020,6,20,,,29,53,,,,,1,,,,,,,,5
10/12/2020,4,18,,,23,50,,,,,1,,,,,,,,4
11/12/2020,3,11,4,"1,25",16,49,"0,14",0,,0,2,,,,,,,,4
12/12/2020,2,14,13,,18,67,,,,,1,,,,,,,,4
13/12/2020,6,23,22,"1,53",32,42,"0,28","0,01",,"0,05",1,,,,,,,,3
14/12/2020,97,52,50,,200,10,,,,,2,,,,,,,,5
15/12/2020,30,35,20,"1,11",80,31,"0,42","0,01",,"0,07",4,,,,,,,,4
16/12/2020,49,57,32,,133,19,,,,,2,,,,,,,,5
17/12/2020,41,50,32,"2,92",113,21,"0,56","0,01",,"0,3",3,,,,,,,,6
18/12/2020,68,55,,,159,16,,,,,4,,,,,,,,7
19/12/2020,14,26,22,"1,25",47,32,"0,42","0,01",,"0,09",5,,,,,,,,5
20/12/2020,21,27,19,,59,,,,,,4,,,,,,,,4
21/12/2020,42,47,31,"1,81",111,,"1,53","0,01",,"0,15",3,,,,,,,,7
22/12/2020,42,40,30,,104,18,,,,,5,,,,,,,,6
23/12/2020,66,41,37,"1,81",143,20,"0,56","0,01",,"0,18",6,,,,,,,,7
24/12/2020,25,37,25,,75,34,,,,,6,,,,,,,,5
25/12/2020,2,9,11,"0,28",13,,"0,14","0,01",,0,3,,,,,,,,3
26/12/2020,6,22,,,32,,,,,,1,,,,,,,,
27/12/2020,4,13,17,"0,69",18,,"0,14","0,01",,"0,04",2,,,,,,,,
28/12/2020,3,11,11,,15,,,,,,1,,,,,,,,
29/12/2020,3,16,10,"0,75",20,,"0,14","0,01",,"0,01",1,,,,,,,,3
30/12/2020,5,25,9,,33,,,,,,1,,,,,,,,3
31/12/2020,5,17,12,,24,52,,,,,1,,,,,,,,3
