Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,PM2.5,CO,NO,NO2,PM10,NOx,O3,Veloc.,Direc.,SO2
11/05/2021,1,"0,2",2,6,3,8,71,"1,8",265,6
12/05/2021,2,"0,2",2,7,7,10,65,"2,1",243,5
13/05/2021,2,"0,3",2,11,6,14,58,"1,8",238,5
14/05/2021,2,"0,2",2,9,6,11,61,"2,6",103,6
15/05/2021,3,"0,1",2,13,10,15,49,"1,5",245,5
16/05/2021,2,"0,1",2,7,5,9,39,"1,7",234,5
17/05/2021,2,,2,6,3,9,64,"3,1",85,7
18/05/2021,3,"0,2",2,9,4,13,61,"2,8",80,6
19/05/2021,2,"0,1",2,7,3,9,57,"2,4",102,
20/05/2021,2,"0,1",2,11,3,13,55,"2,6",84,
21/05/2021,3,"0,2",2,7,3,11,64,"2,8",77,
22/05/2021,5,"0,2",2,4,6,7,66,"2,4",62,
23/05/2021,2,"0,1",1,2,2,4,70,"3,9",67,
24/05/2021,2,"0,2",2,9,3,12,54,"1,9",249,
25/05/2021,3,"0,2",2,6,5,9,63,"4,1",59,
26/05/2021,2,"0,2",2,5,3,8,67,"2,3",112,
27/05/2021,5,"0,1",3,13,6,17,56,"1,6",120,
28/05/2021,5,"0,1",2,17,6,19,53,"0,9",84,5
29/05/2021,5,"0,1",2,15,6,18,50,"1,8",125,4
30/05/2021,2,"0,2",1,8,3,11,67,"2,2",61,4
31/05/2021,3,,2,11,4,14,63,"1,6",54,5
01/06/2021,5,,1,12,6,14,60,"1,3",59,5
02/06/2021,4,,2,15,5,17,63,"1,6",93,4
03/06/2021,6,,2,7,7,10,67,"2,1",62,4
04/06/2021,8,,2,9,9,12,63,"1,5",60,5
05/06/2021,5,,2,5,6,7,69,"2,8",57,5
06/06/2021,3,,2,7,4,9,64,"1,6",152,5
07/06/2021,5,,4,12,6,18,54,"2,3",65,5
08/06/2021,9,,2,11,10,13,56,2,60,5
09/06/2021,7,,2,11,9,13,59,"2,4",62,5
10/06/2021,5,"0,1",2,10,5,12,65,"1,8",51,5
11/06/2021,4,"0,1",2,12,5,15,71,"1,9",66,4
12/06/2021,4,"0,1",2,10,6,13,85,"1,7",54,3
13/06/2021,7,,2,19,10,21,82,"0,9",123,3
14/06/2021,7,"0,1",4,21,14,26,72,"1,7",126,4
15/06/2021,5,"0,1",4,27,12,34,57,"0,9",120,3
16/06/2021,7,"0,1",2,15,10,18,,"1,8",54,3
17/06/2021,5,"0,1",3,27,13,31,45,"1,2",179,5
18/06/2021,7,"0,2",2,15,8,18,64,"1,9",52,4
19/06/2021,7,"0,2",2,10,8,13,55,"0,9",70,4
20/06/2021,4,"0,1",2,10,7,12,36,"1,7",242,4
21/06/2021,2,"0,1",2,13,6,15,47,"1,7",236,4
22/06/2021,1,"0,2",3,12,4,16,59,"2,2",108,5
23/06/2021,1,"0,2",2,9,2,11,68,"2,6",61,5
24/06/2021,1,"0,2",2,7,2,9,67,2,73,4
25/06/2021,2,"0,2",3,12,3,16,63,2,95,4
26/06/2021,3,"0,2",2,8,4,10,72,3,64,5
27/06/2021,2,"0,2",2,7,3,9,80,3,52,5
28/06/2021,3,,2,8,5,10,67,2,56,5
29/06/2021,3,,2,9,5,12,63,"2,8",64,5
30/06/2021,4,,2,10,7,12,62,"2,8",84,4
01/07/2021,3,,2,5,4,7,72,"2,9",71,6
02/07/2021,5,,2,5,6,8,,"2,2",78,5
03/07/2021,10,,2,6,12,9,,2,79,5
04/07/2021,9,,,,15,,,"2,8",358,4
05/07/2021,7,,2,11,9,14,,"2,4",64,
06/07/2021,5,,,,13,,55,"2,3",255,
07/07/2021,2,"0,1",2,7,4,10,67,"2,1",72,
08/07/2021,3,"0,1",2,8,5,11,57,"2,3",74,4
09/07/2021,3,"0,1",2,9,5,12,53,"2,2",82,4
10/07/2021,3,"0,1",2,9,5,11,53,"2,5",69,4
11/07/2021,3,"0,1",2,7,4,10,,"2,1",73,3
12/07/2021,5,"0,1",4,13,16,20,,"2,3",89,
13/07/2021,2,"0,1",2,8,8,11,44,"2,6",43,
14/07/2021,2,"0,1",2,6,6,9,49,"2,1",84,
15/07/2021,3,"0,1",2,8,5,11,51,2,88,
16/07/2021,4,"0,1",4,9,6,16,51,"3,1",102,
17/07/2021,3,"0,1",2,6,4,8,55,"2,3",56,
18/07/2021,3,"0,1",2,5,5,8,,"2,7",55,
19/07/2021,4,"0,1",3,11,5,14,,"2,2",70,
20/07/2021,4,"0,1",2,8,5,11,78,"2,4",62,
21/07/2021,5,"0,1",2,7,7,10,,"2,2",49,4
22/07/2021,4,"0,1",2,13,7,16,61,"1,6",88,4
23/07/2021,5,"0,1",3,13,9,16,,"2,3",67,3
24/07/2021,6,"0,1",2,7,8,9,,"2,3",69,5
25/07/2021,6,"0,1",2,3,8,6,70,"3,1",66,4
26/07/2021,3,"0,1",2,8,4,11,77,2,61,4
27/07/2021,4,"0,1",4,13,6,19,73,"2,2",137,4
28/07/2021,4,"0,1",2,9,5,12,79,"2,4",57,4
29/07/2021,5,"0,1",2,8,6,11,83,"1,6",76,3
30/07/2021,7,"0,1",3,11,9,15,82,3,63,6
31/07/2021,7,"0,1",2,8,10,11,88,"2,7",58,7
01/08/2021,1,"0,1",2,3,2,5,75,3,62,3
02/08/2021,2,"0,1",2,6,3,8,78,"2,7",67,4
03/08/2021,2,"0,1",2,9,4,12,80,"2,2",77,3
04/08/2021,3,"0,1",3,12,7,16,80,"2,1",89,4
05/08/2021,4,"0,1",2,9,5,11,87,"2,2",59,4
06/08/2021,6,"0,1",2,8,7,11,88,"2,7",65,4
07/08/2021,6,"0,1",2,8,12,10,90,2,283,4
08/08/2021,3,"0,1",2,4,4,7,76,"4,5",57,3
09/08/2021,2,"0,1",2,6,3,9,70,"2,8",61,5
10/08/2021,3,"0,1",3,14,5,19,58,"0,8",82,4
11/08/2021,4,"0,1",2,12,6,15,80,"1,4",79,5
12/08/2021,6,"0,2",3,21,14,25,61,"1,2",104,4
13/08/2021,7,"0,1",3,12,10,16,57,"1,7",74,4
14/08/2021,9,"0,1",2,13,15,16,46,2,159,6
15/08/2021,9,"0,1",2,7,14,10,67,"3,1",38,3
16/08/2021,,"0,1",2,6,,9,57,"3,7",64,3
17/08/2021,,"0,1",2,7,,10,57,"1,7",80,5
18/08/2021,,"0,1",2,7,,9,55,"3,1",65,4
19/08/2021,,"0,1",2,8,,10,53,"2,6",103,4
20/08/2021,,"0,1",2,7,,11,58,2,70,5
21/08/2021,,"0,1",2,5,,8,71,"1,9",53,4
22/08/2021,,"0,1",2,5,,7,69,"1,4",46,3
23/08/2021,,"0,1",2,7,,9,68,"2,5",62,4
24/08/2021,,"0,1",2,7,,10,64,"2,7",61,5
25/08/2021,,"0,1",2,10,,13,82,"1,9",77,4
26/08/2021,,"0,1",2,11,,15,67,"1,5",41,4
27/08/2021,,"0,2",3,19,,24,66,"1,7",57,3
28/08/2021,,"0,1",2,11,,14,75,"2,1",51,4
29/08/2021,,"0,1",2,7,,10,78,"2,7",81,5
30/08/2021,,"0,1",2,8,,11,71,"1,8",52,3
31/08/2021,,"0,1",2,10,,13,65,"1,8",55,3
01/09/2021,,"0,1",2,8,,11,82,"3,9",67,4
02/09/2021,,"0,1",2,9,,11,86,"1,4",46,4
03/09/2021,,"0,1",4,13,,19,76,"1,9",72,4
04/09/2021,,"0,1",2,8,,11,70,"1,6",67,4
05/09/2021,,"0,1",2,7,,10,67,"1,7",62,3
06/09/2021,,"0,1",3,13,,17,60,"1,2",52,3
07/09/2021,,"0,1",2,9,,12,68,"1,7",58,4
08/09/2021,,"0,1",2,11,,15,70,"1,4",47,3
09/09/2021,,"0,1",3,12,,15,67,"1,5",61,3
10/09/2021,,"0,1",3,14,,18,69,"2,1",70,5
11/09/2021,10,"0,1",2,8,22,11,81,"1,8",53,4
12/09/2021,10,"0,1",2,7,21,10,68,"1,8",73,5
13/09/2021,,"0,1",3,19,,24,48,"0,6",264,4
14/09/2021,,"0,1",4,13,,19,56,"1,7",34,3
15/09/2021,,"0,1",3,15,,20,61,"1,7",231,4
16/09/2021,,"0,1",2,12,,15,60,"2,1",229,5
17/09/2021,,"0,1",4,17,,23,55,"1,3",107,6
18/09/2021,,"0,2",2,13,,16,61,"2,2",179,10
19/09/2021,,"0,2",2,8,,11,51,"1,3",60,5
20/09/2021,,"0,1",4,11,,17,52,"1,7",61,5
21/09/2021,,"0,1",2,7,,10,58,"2,5",28,5
22/09/2021,,"0,1",2,8,,11,68,"3,6",39,7
23/09/2021,,"0,1",2,9,,11,76,"4,6",42,6
24/09/2021,,"0,2",2,12,,15,75,"3,4",46,6
25/09/2021,,"0,3",2,14,,17,53,1,259,4
26/09/2021,10,,2,9,19,12,64,"1,5",192,
27/09/2021,11,,5,18,31,25,60,"1,4",66,
28/09/2021,17,,3,15,32,19,68,"1,1",31,3
29/09/2021,17,,6,13,32,21,54,"1,9",67,3
30/09/2021,7,"0,1",2,11,21,14,57,"1,6",43,3
01/10/2021,15,,3,12,25,16,63,"1,6",97,3
02/10/2021,23,,2,13,36,16,60,"1,1",42,3
03/10/2021,13,,2,6,31,9,49,"1,6",252,3
04/10/2021,3,"0,1",2,11,16,14,40,1,265,3
05/10/2021,4,"0,1",3,13,22,17,50,"1,2",247,3
06/10/2021,5,"0,1",5,14,24,22,49,"1,5",144,3
07/10/2021,6,"0,1",3,16,22,20,54,"1,2",89,3
08/10/2021,7,,2,12,20,15,66,"1,2",81,3
09/10/2021,6,,2,8,11,10,69,"1,8",53,3
10/10/2021,6,,2,4,15,7,71,"1,5",55,4
11/10/2021,10,"0,2",3,12,20,17,57,"1,3",45,3
12/10/2021,12,"0,2",2,11,20,14,58,"0,7",269,4
13/10/2021,11,"0,2",3,13,26,17,60,"1,3",39,3
14/10/2021,11,"0,2",5,14,24,21,63,"1,1",135,3
15/10/2021,13,"0,2",5,16,31,23,53,"1,5",220,3
16/10/2021,13,"0,1",2,10,34,13,65,"1,3",32,3
17/10/2021,13,"0,1",2,11,22,14,64,"0,8",346,3
18/10/2021,15,"0,1",5,19,28,26,48,1,22,3
19/10/2021,12,"0,1",3,15,26,20,56,"1,3",6,3
20/10/2021,16,"0,1",9,17,29,30,51,"1,2",216,3
21/10/2021,13,"0,1",12,21,42,39,45,"1,8",43,3
22/10/2021,6,"0,1",2,11,23,14,55,3,55,3
23/10/2021,5,"0,1",2,10,19,13,47,"1,2",330,3
24/10/2021,8,"0,1",2,12,17,15,51,"0,9",289,3
25/10/2021,13,"0,1",4,17,27,23,49,"0,9",326,3
26/10/2021,13,"0,1",4,17,28,23,53,"1,4",19,4
27/10/2021,18,"0,1",4,18,36,23,56,"1,1",237,3
28/10/2021,19,"0,1",6,28,38,36,39,"0,8",251,3
29/10/2021,20,"0,1",10,25,41,40,36,"0,7",232,3
30/10/2021,8,"0,1",2,14,13,17,33,"1,3",245,3
31/10/2021,2,"0,1",2,6,6,8,40,"1,7",249,3
01/11/2021,2,"0,1",2,5,5,8,53,"1,5",267,3
02/11/2021,3,"0,1",2,8,16,11,54,"1,8",249,3
03/11/2021,3,"0,1",2,9,11,11,53,"1,1",277,4
04/11/2021,5,,4,13,19,20,44,"0,9",268,4
05/11/2021,3,,3,11,16,15,47,"1,2",339,4
06/11/2021,4,,2,8,22,11,51,"1,1",351,4
07/11/2021,4,,2,8,21,11,54,"0,9",256,4
08/11/2021,11,,13,24,46,43,37,"1,3",217,4
09/11/2021,7,"0,1",3,17,35,20,47,"1,1",360,4
10/11/2021,9,"0,1",3,21,41,25,43,"0,6",281,3
11/11/2021,12,"0,1",4,23,45,28,38,"0,6",273,3
12/11/2021,9,"0,1",5,24,26,31,33,"0,6",311,3
13/11/2021,14,"0,1",4,22,29,28,38,"0,6",16,3
14/11/2021,11,"0,1",2,18,20,21,39,"0,7",237,3
15/11/2021,4,"0,1",4,16,24,22,43,"0,9",335,4
16/11/2021,8,"0,2",6,20,32,29,35,"0,6",242,3
17/11/2021,9,"0,1",3,17,32,22,42,"0,6",252,3
18/11/2021,9,"0,1",3,17,23,21,40,"1,4",43,3
19/11/2021,10,"0,1",2,13,19,16,50,"2,5",52,3
20/11/2021,13,"0,1",2,13,19,15,51,2,33,3
21/11/2021,13,"0,1",4,16,20,22,31,"0,4",314,4
22/11/2021,9,"0,1",8,16,16,29,36,"1,5",19,4
23/11/2021,6,"0,2",2,13,11,15,38,2,254,4
24/11/2021,5,"0,2",2,12,11,15,32,"1,2",253,3
25/11/2021,3,"0,1",2,10,9,12,37,"1,3",313,3
26/11/2021,6,"0,1",8,15,18,27,32,"0,9",273,3
27/11/2021,4,"0,1",2,8,12,10,44,"1,4",258,3
28/11/2021,3,"0,2",2,4,5,6,53,"1,2",263,3
29/11/2021,4,"0,1",2,10,14,13,45,"1,8",251,3
30/11/2021,9,"0,1",15,23,30,46,31,"0,8",246,4
01/12/2021,9,,4,14,24,19,36,"1,5",249,4
02/12/2021,3,"0,1",6,9,9,17,49,"2,2",308,4
03/12/2021,5,,5,16,20,24,40,"1,4",287,4
04/12/2021,5,"0,1",2,7,12,10,45,"1,9",246,3
05/12/2021,3,"0,1",2,3,10,6,57,"1,6",283,3
06/12/2021,3,,2,4,6,7,54,1,254,3
07/12/2021,5,"0,1",2,7,14,10,46,"2,5",243,4
08/12/2021,2,,2,4,7,6,62,"1,9",256,3
09/12/2021,3,,2,4,12,7,54,"2,5",245,3
10/12/2021,4,"0,1",2,7,15,10,49,3,250,4
11/12/2021,4,"0,1",2,7,13,10,53,"1,4",310,4
12/12/2021,10,"0,1",5,23,23,31,24,"0,5",309,4
13/12/2021,17,"0,1",14,24,32,44,25,"0,4",258,4
14/12/2021,24,"0,1",10,26,44,41,23,"0,4",288,3
15/12/2021,31,"0,1",6,23,49,33,27,"0,5",358,3
16/12/2021,21,"0,1",7,16,36,26,39,"1,1",8,3
17/12/2021,23,"0,1",5,15,38,22,37,"1,2",18,3
18/12/2021,18,"0,1",2,12,29,14,41,"1,5",43,3
19/12/2021,27,"0,1",3,14,36,19,39,1,68,3
20/12/2021,21,"0,2",18,24,33,51,19,"0,6",234,3
21/12/2021,20,"0,1",3,18,52,22,27,"1,1",319,3
22/12/2021,32,"0,1",5,21,47,28,18,"0,4",62,4
23/12/2021,29,"0,1",8,21,42,34,22,"0,7",220,3
24/12/2021,20,"0,1",7,18,28,28,23,"0,7",229,4
25/12/2021,4,"0,1",2,8,7,11,49,"0,8",231,3
26/12/2021,3,"0,1",2,8,6,10,45,"0,9",252,3
27/12/2021,3,"0,1",2,7,14,10,54,"2,3",247,3
28/12/2021,4,"0,1",2,7,20,9,57,"2,5",261,3
29/12/2021,7,"0,1",2,12,21,16,39,1,245,4
30/12/2021,15,"0,1",16,27,31,52,20,"0,5",229,4
31/12/2021,25,"0,1",21,25,38,56,16,"0,2",124,4
