Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,,,,,,
Estaci�n: 46250047-Val�ncia - Avd. Francia,,,,,,,,,,

FECHA,Veloc.,Direc.,PM2.5,SO2,CO,NO,NO2,PM10,NOx,O3
11/03/2022,"0,6",185,20,3,"0,1",7,23,32,33,43
12/03/2022,1,266,5,3,"0,1",2,10,10,12,49
13/03/2022,"1,9",58,8,3,"0,1",2,11,14,13,46
14/03/2022,"8,9",53,12,3,"0,1",2,5,20,8,69
15/03/2022,"10,9",49,19,3,"0,1",2,3,29,6,72
16/03/2022,9,48,13,3,"0,1",2,4,20,7,69
17/03/2022,"8,6",47,13,4,"0,1",2,3,19,6,62
18/03/2022,"5,2",45,17,4,"0,1",2,6,35,8,52
19/03/2022,"4,5",46,29,4,"0,1",2,6,45,8,64
20/03/2022,"5,2",62,15,4,"0,1",2,5,23,7,67
21/03/2022,"9,1",91,8,4,"0,1",2,6,11,9,66
22/03/2022,"7,5",77,10,4,"0,1",2,4,20,6,77
23/03/2022,"7,3",67,9,4,"0,1",2,2,17,4,83
24/03/2022,"7,4",44,10,4,"0,1",2,6,13,9,70
25/03/2022,"9,5",46,17,4,"0,1",2,3,24,6,95
26/03/2022,"7,9",45,16,4,"0,1",2,3,27,6,97
27/03/2022,2,37,16,4,"0,1",2,5,46,7,91
28/03/2022,,40,19,4,"0,1",5,13,40,20,70
29/03/2022,"2,6",20,22,4,"0,1",6,13,42,22,64
30/03/2022,,214,18,4,"0,1",2,13,44,16,59
31/03/2022,"1,1",294,5,4,"0,1",2,9,13,12,60
01/04/2022,"3,3",341,4,4,"0,1",2,3,10,6,74
02/04/2022,"2,7",320,2,4,"0,1",2,2,6,5,79
03/04/2022,"3,2",64,3,4,"0,1",2,3,9,5,81
04/04/2022,"7,2",51,9,4,"0,1",2,3,28,5,81
05/04/2022,"4,7",40,9,4,"0,1",2,5,30,8,86
06/04/2022,"2,9",252,7,4,"0,1",2,9,14,12,67
07/04/2022,"2,5",247,6,3,"0,1",2,7,18,10,66
08/04/2022,"2,9",251,4,3,"0,1",2,8,19,11,55
09/04/2022,"2,3",213,4,3,"0,1",2,7,14,10,61
10/04/2022,"3,4",54,8,3,"0,1",2,6,16,8,69
11/04/2022,"3,6",49,10,3,"0,1",2,6,18,9,70
12/04/2022,"1,5",51,12,3,"0,1",3,10,18,14,69
13/04/2022,"3,6",35,10,3,"0,1",2,10,14,13,62
14/04/2022,"3,7",25,8,3,"0,1",2,6,22,9,82
15/04/2022,"0,9",277,8,3,"0,1",2,9,22,12,77
16/04/2022,"1,7",172,13,3,"0,1",2,16,32,19,63
17/04/2022,"1,9",43,11,3,"0,1",2,10,24,13,72
18/04/2022,"3,5",52,17,3,"0,1",2,8,27,11,81
19/04/2022,"2,8",44,11,3,"0,1",2,6,16,9,90
20/04/2022,"1,8",309,8,4,"0,1",2,11,10,13,57
21/04/2022,"1,7",90,3,4,"0,1",2,14,9,18,58
22/04/2022,2,218,7,3,"0,1",2,12,21,15,52
23/04/2022,"3,6",246,2,3,"0,1",2,2,6,5,75
24/04/2022,"2,3",254,3,3,"0,1",2,3,7,6,76
25/04/2022,,38,6,3,"0,1",2,8,12,11,69
26/04/2022,"1,8",56,5,3,"0,1",2,9,12,12,68
27/04/2022,,257,13,3,"0,1",6,28,30,36,35
28/04/2022,,2,16,3,"0,1",3,16,23,19,56
29/04/2022,"1,9",337,10,3,"0,1",4,15,26,21,64
30/04/2022,"1,8",196,14,3,"0,1",2,17,35,20,66
01/05/2022,,51,17,3,"0,1",2,12,29,15,72
02/05/2022,"3,4",60,16,4,"0,1",2,9,26,12,86
03/05/2022,"2,5",28,8,8,"0,1",2,11,11,13,73
04/05/2022,"5,7",38,13,7,"0,1",2,7,22,10,80
05/05/2022,"1,5",7,10,6,"0,1",3,14,24,18,55
06/05/2022,,187,10,6,"0,1",4,20,29,26,48
07/05/2022,2,184,10,6,"0,1",2,13,25,15,57
08/05/2022,"3,1",57,10,5,"0,1",2,8,23,11,78
09/05/2022,,42,13,5,"0,1",2,11,29,14,82
10/05/2022,"2,8",77,12,6,"0,1",4,19,44,26,65
11/05/2022,"3,6",105,14,5,"0,1",3,18,40,23,61
12/05/2022,"2,4",79,12,5,"0,1",2,11,27,14,71
13/05/2022,"2,8",84,15,4,"0,1",4,12,34,17,57
14/05/2022,"2,8",85,15,3,"0,1",3,15,32,19,60
15/05/2022,,91,12,3,"0,1",2,10,27,12,76
16/05/2022,"2,3",93,17,3,"0,1",3,20,49,25,61
17/05/2022,"2,8",90,18,3,"0,1",7,20,50,31,58
18/05/2022,,58,17,3,"0,1",2,10,32,13,63
19/05/2022,"2,9",63,17,3,"0,1",2,9,35,12,64
20/05/2022,"2,2",52,10,3,"0,1",3,10,31,13,77
21/05/2022,"1,3",140,12,3,"0,1",3,19,31,23,56
22/05/2022,"1,6",122,11,3,"0,1",4,17,26,22,66
23/05/2022,"2,8",133,9,3,"0,1",2,13,43,16,68
24/05/2022,"4,7",55,9,3,"0,1",2,7,38,10,67
25/05/2022,"2,4",60,2,4,"0,1",2,6,8,9,64
26/05/2022,"2,4",77,4,3,"0,1",3,11,17,15,59
27/05/2022,"2,1",160,6,3,"0,1",4,20,23,26,54
28/05/2022,"2,4",170,7,3,"0,1",2,15,27,19,70
29/05/2022,"3,3",55,7,3,"0,1",2,7,22,10,80
30/05/2022,"3,1",60,8,3,"0,1",2,8,20,12,76
31/05/2022,"2,5",73,12,3,"0,1",2,7,22,10,72
01/06/2022,"2,4",64,14,4,"0,1",2,6,26,9,73
02/06/2022,"2,6",68,15,4,"0,1",2,5,25,8,64
03/06/2022,"3,1",77,13,4,"0,1",2,4,24,7,74
04/06/2022,"2,4",57,13,4,"0,1",2,8,24,11,59
05/06/2022,"2,9",113,8,4,"0,1",2,8,22,11,61
06/06/2022,"2,6",50,8,4,"0,1",2,6,20,9,73
07/06/2022,"2,7",72,12,4,"0,1",2,8,25,12,65
08/06/2022,2,65,15,4,"0,1",2,10,34,13,79
09/06/2022,"2,6",96,8,4,"0,1",2,8,21,11,61
10/06/2022,"2,5",66,9,4,"0,1",2,8,24,11,52
11/06/2022,2,50,8,4,"0,1",2,10,26,13,54
12/06/2022,"1,9",137,5,4,"0,1",2,12,21,15,59
13/06/2022,"2,1",95,5,4,"0,1",4,16,26,21,59
14/06/2022,"2,8",74,7,4,"0,1",2,11,20,14,64
15/06/2022,"2,4",71,6,4,"0,1",2,12,18,15,76
16/06/2022,"1,8",82,9,4,"0,1",3,20,27,24,69
17/06/2022,"1,7",154,9,4,"0,1",5,27,53,35,51
18/06/2022,"2,7",65,9,4,"0,1",2,16,41,19,66
19/06/2022,"3,1",60,12,4,"0,1",2,7,29,10,97
20/06/2022,"2,5",63,15,4,"0,1",2,10,42,13,80
21/06/2022,"1,7",117,14,4,"0,1",2,13,38,16,55
22/06/2022,"2,1",214,9,4,"0,1",2,12,42,15,55
23/06/2022,"2,6",222,5,4,"0,1",2,17,37,20,52
24/06/2022,"2,3",239,4,4,"0,1",2,9,25,12,63
25/06/2022,"3,2",63,6,4,"0,1",2,7,20,10,72
26/06/2022,"2,9",61,9,4,"0,1",2,4,18,7,73
27/06/2022,4,49,8,4,"0,1",2,5,32,8,56
28/06/2022,"3,6",130,7,4,"0,1",2,9,22,13,51
29/06/2022,"3,6",87,9,4,"0,1",2,9,25,12,55
30/06/2022,"3,3",56,7,4,"0,1",2,6,21,9,65
01/07/2022,"3,2",60,8,4,"0,1",2,6,24,9,54
02/07/2022,"2,4",71,6,4,"0,1",2,6,16,9,58
03/07/2022,2,136,6,3,"0,1",2,7,14,10,65
04/07/2022,"2,1",100,6,3,"0,1",3,11,19,14,64
05/07/2022,"3,2",59,8,3,"0,1",2,6,17,8,73
06/07/2022,"3,1",45,10,3,"0,1",2,6,33,9,71
07/07/2022,2,165,6,3,"0,1",2,11,22,14,61
08/07/2022,"2,9",77,8,3,"0,1",2,14,28,17,71
09/07/2022,"2,1",74,7,3,"0,1",2,10,21,13,77
10/07/2022,"2,5",59,6,3,"0,1",2,8,20,11,80
11/07/2022,"2,4",73,7,3,"0,1",3,16,28,20,67
12/07/2022,"1,7",108,5,3,"0,1",3,20,23,24,57
13/07/2022,"2,5",107,8,3,"0,1",3,16,42,20,58
14/07/2022,"2,2",61,7,3,"0,1",2,10,27,13,65
15/07/2022,"0,8",136,8,3,"0,1",3,19,27,23,44
16/07/2022,"1,2",136,8,3,"0,1",2,18,30,21,59
17/07/2022,"0,9",102,8,3,"0,2",2,16,23,19,63
18/07/2022,"1,2",66,9,3,"0,1",3,18,27,22,
19/07/2022,"1,6",59,11,3,"0,1",2,14,35,17,66
20/07/2022,"1,9",64,9,3,"0,1",2,7,24,9,76
21/07/2022,"1,2",55,9,3,"0,1",3,10,22,14,
22/07/2022,"1,7",111,10,3,"0,1",2,10,32,14,
23/07/2022,2,47,11,3,"0,1",2,7,29,10,62
24/07/2022,"1,6",54,12,3,"0,1",2,8,27,11,60
25/07/2022,"1,7",66,12,3,"0,1",3,9,29,13,
26/07/2022,"2,3",92,10,3,"0,1",2,7,28,9,
27/07/2022,"1,9",112,11,3,"0,1",2,6,32,9,56
28/07/2022,"2,2",80,12,3,"0,1",2,6,37,10,56
29/07/2022,"1,8",81,9,3,"0,1",2,4,27,7,66
30/07/2022,"1,8",71,8,3,"0,1",2,4,20,6,66
31/07/2022,"1,2",108,8,3,"0,1",2,5,19,7,64
01/08/2022,1,126,8,3,"0,1",3,8,21,11,60
02/08/2022,"1,5",120,8,3,"0,1",2,11,27,14,52
03/08/2022,2,68,7,3,"0,1",2,9,28,12,69
04/08/2022,"1,9",65,6,3,"0,1",3,11,25,15,69
05/08/2022,"1,7",65,5,3,"0,1",2,7,19,10,80
06/08/2022,"1,4",59,6,3,"0,1",2,7,14,10,82
07/08/2022,"1,8",90,7,3,"0,1",2,6,15,9,77
08/08/2022,"1,6",63,7,3,"0,1",2,7,20,10,91
09/08/2022,"1,4",64,7,3,"0,1",2,6,21,9,94
10/08/2022,"1,4",87,7,3,"0,1",2,6,20,9,94
11/08/2022,"1,1",70,7,3,"0,1",3,10,27,14,84
12/08/2022,"1,3",146,9,3,"0,1",3,13,38,17,74
13/08/2022,"1,4",284,12,3,"0,1",2,7,121,10,66
14/08/2022,1,216,9,3,"0,1",2,8,53,10,68
15/08/2022,"1,6",82,11,3,"0,1",2,6,35,9,80
16/08/2022,"1,5",81,14,3,"0,1",2,8,43,11,91
17/08/2022,"1,4",45,15,3,"0,1",2,9,43,11,79
18/08/2022,"1,3",85,13,3,"0,1",2,14,32,17,70
19/08/2022,"1,6",70,8,4,"0,1",2,11,23,14,67
20/08/2022,"1,2",54,7,3,"0,1",2,9,16,12,71
21/08/2022,"1,2",93,7,3,"0,1",2,7,20,10,75
22/08/2022,"1,3",85,5,3,"0,1",2,7,12,9,73
23/08/2022,"1,4",82,5,3,"0,1",2,10,17,13,51
24/08/2022,2,67,5,3,"0,1",2,7,18,9,54
25/08/2022,"1,5",74,6,3,"0,1",2,7,16,10,53
26/08/2022,"1,4",13,6,4,"0,1",2,8,17,11,60
27/08/2022,"1,1",128,5,3,"0,1",2,10,13,12,70
28/08/2022,"1,1",84,6,3,"0,1",2,7,13,10,82
29/08/2022,1,77,7,3,"0,1",2,11,19,14,70
30/08/2022,"1,1",43,9,3,"0,1",2,9,27,12,66
31/08/2022,2,224,12,4,"0,1",2,8,68,11,62
01/09/2022,"0,8",54,,3,"0,1",4,11,,17,64
02/09/2022,1,274,,3,"0,1",2,14,,18,58
03/09/2022,1,93,,4,"0,1",2,12,,14,61
04/09/2022,"1,1",43,,3,"0,1",2,5,,8,71
05/09/2022,1,69,,3,"0,1",3,9,,13,64
06/09/2022,"0,9",166,,4,"0,1",4,13,,18,63
07/09/2022,"0,9",217,,3,"0,1",3,15,,19,59
08/09/2022,"1,2",93,,4,"0,1",4,14,,20,57
09/09/2022,"1,3",54,3,3,"0,1",6,17,18,26,64
10/09/2022,"1,2",56,2,3,"0,1",2,8,9,11,64
11/09/2022,"1,3",54,3,3,"0,1",2,5,8,8,59
12/09/2022,"1,1",34,3,3,"0,1",2,9,13,12,53
13/09/2022,"0,5",317,4,4,"0,1",2,17,17,20,22
14/09/2022,"0,8",248,3,4,"0,1",4,13,11,19,32
15/09/2022,1,250,2,4,"0,1",2,11,15,15,56
16/09/2022,1,44,2,4,"0,1",3,10,9,14,56
17/09/2022,"1,3",36,3,3,"0,1",2,7,11,10,59
18/09/2022,"0,7",39,4,4,"0,1",2,7,9,10,59
19/09/2022,"0,8",43,3,4,"0,1",3,11,9,15,58
20/09/2022,1,121,3,4,"0,1",4,14,11,20,54
21/09/2022,"0,8",39,3,4,"0,1",3,13,13,17,56
22/09/2022,"1,3",45,3,4,"0,1",2,11,11,13,66
23/09/2022,"0,8",75,4,4,"0,1",3,12,11,16,62
24/09/2022,"1,9",64,4,4,"0,1",2,6,16,9,63
25/09/2022,"2,7",60,2,4,"0,1",2,3,10,6,66
26/09/2022,"0,6",3,2,4,"0,1",3,8,8,12,51
27/09/2022,"0,7",306,2,4,"0,1",3,11,10,15,44
28/09/2022,"0,7",255,2,3,"0,1",2,10,12,14,45
29/09/2022,"0,9",259,1,3,"0,1",2,8,11,11,47
30/09/2022,"1,2",352,1,3,"0,1",2,9,10,12,55
01/10/2022,"0,9",242,2,4,"0,1",2,11,8,13,52
02/10/2022,1,202,2,3,"0,1",2,7,6,10,59
03/10/2022,"0,3",359,3,4,"0,1",4,19,13,25,39
04/10/2022,"0,9",50,4,4,"0,1",7,15,11,26,44
05/10/2022,"0,9",46,3,4,"0,1",3,11,9,15,52
06/10/2022,2,47,3,4,"0,1",2,6,13,9,61
07/10/2022,1,26,3,4,"0,1",2,8,8,10,59
08/10/2022,"1,5",49,5,4,"0,1",2,5,13,8,59
09/10/2022,"0,7",68,4,4,"0,1",2,7,10,9,57
10/10/2022,"0,7",69,6,4,"0,1",8,15,14,26,41
11/10/2022,1,23,4,4,"0,1",2,10,7,13,46
12/10/2022,"0,7",16,5,4,"0,1",2,6,11,9,55
13/10/2022,"0,5",255,5,3,"0,1",4,12,14,19,46
14/10/2022,"0,8",212,5,3,"0,1",4,18,18,25,43
15/10/2022,"0,8",26,6,3,"0,1",5,19,15,27,43
16/10/2022,"0,8",72,6,3,"0,1",2,11,15,14,49
17/10/2022,"0,7",21,,4,"0,1",6,14,,22,47
18/10/2022,"0,5",49,,4,"0,1",5,17,,24,35
19/10/2022,"0,7",51,,4,"0,1",4,13,,19,41
20/10/2022,"0,4",56,,4,"0,1",2,14,,17,37
21/10/2022,"0,5",247,,4,"0,1",2,11,,14,30
22/10/2022,"0,4",186,9,3,"0,1",3,14,14,17,31
23/10/2022,"0,3",276,20,3,"0,1",2,15,28,18,28
24/10/2022,"0,3",229,13,3,"0,1",11,21,26,37,21
25/10/2022,"0,4",33,16,3,"0,1",5,24,25,31,21
26/10/2022,"0,3",114,26,3,"0,1",15,25,38,47,17
27/10/2022,"0,5",41,23,3,"0,2",10,18,32,33,33
28/10/2022,"0,5",15,,3,"0,1",4,16,,21,43
29/10/2022,"0,5",15,,3,"0,1",2,12,,15,45
30/10/2022,"0,3",27,,3,"0,1",2,10,,13,43
31/10/2022,"0,3",181,,3,"0,1",6,16,,24,34
01/11/2022,"0,7",35,,3,"0,1",6,17,,25,26
02/11/2022,"0,9",26,,3,"0,1",3,11,,16,35
03/11/2022,"0,7",240,10,3,"0,1",4,13,34,18,24
04/11/2022,1,328,3,3,"0,1",2,8,21,10,35
05/11/2022,"0,8",237,5,4,"0,1",3,13,19,17,31
06/11/2022,"0,8",282,6,4,"0,1",2,10,24,12,32
07/11/2022,"0,5",43,7,4,"0,1",4,18,25,24,28
08/11/2022,"0,8",232,11,3,"0,1",5,15,36,22,26
09/11/2022,"0,7",238,6,3,"0,1",3,14,27,17,23
10/11/2022,"0,9",51,4,3,"0,1",4,10,15,16,32
11/11/2022,"1,1",17,6,3,"0,1",3,14,7,19,25
12/11/2022,"2,5",66,11,3,"0,1",4,14,15,20,35
13/11/2022,"0,3",287,10,3,"0,1",2,8,18,11,29
14/11/2022,"0,9",239,11,3,"0,1",4,12,27,18,19
15/11/2022,"1,1",233,5,3,"0,1",2,8,13,11,28
16/11/2022,"1,5",243,2,3,"0,1",2,5,8,8,
17/11/2022,"1,7",243,2,3,"0,1",2,3,8,6,
18/11/2022,1,269,3,3,"0,1",2,6,8,9,
19/11/2022,"0,9",300,2,5,"0,1",2,3,7,6,
20/11/2022,"0,8",271,3,4,"0,1",2,3,5,5,
21/11/2022,"1,7",250,3,3,"0,1",2,4,10,7,
22/11/2022,"1,9",254,3,4,"0,1",2,4,10,7,
23/11/2022,2,241,2,3,"0,1",2,3,7,5,
24/11/2022,"0,8",250,4,3,"0,1",4,11,10,18,24
25/11/2022,2,303,4,3,"0,1",2,6,10,9,42
26/11/2022,"0,9",240,8,5,"0,1",6,14,20,24,32
27/11/2022,"0,6",237,11,5,"0,1",4,14,18,20,24
28/11/2022,"2,4",314,5,4,"0,1",2,8,13,10,42
29/11/2022,"1,9",269,3,4,"0,1",2,6,8,8,47
30/11/2022,"1,1",249,8,4,"0,2",10,20,23,35,24
01/12/2022,"3,7",40,7,4,"0,1",2,9,15,11,44
02/12/2022,4,44,9,5,"0,1",2,6,18,8,44
03/12/2022,"1,2",245,12,5,"0,2",2,7,15,10,36
04/12/2022,"0,9",210,12,4,"0,1",2,12,15,14,29
05/12/2022,"2,5",35,13,4,"0,1",3,12,21,15,33
06/12/2022,"0,4",61,18,3,"0,1",3,12,26,16,34
07/12/2022,"0,7",20,25,4,"0,2",9,18,31,31,20
08/12/2022,"0,5",274,32,3,"0,2",4,17,36,23,13
09/12/2022,"1,3",245,6,3,"0,1",4,17,10,23,30
10/12/2022,"1,1",267,3,4,"0,1",2,8,5,10,40
11/12/2022,"1,2",262,6,5,"0,1",2,6,7,9,39
12/12/2022,"1,5",271,12,4,"0,1",11,16,16,33,21
13/12/2022,"2,1",241,3,3,"0,1",3,11,6,16,30
14/12/2022,"1,6",244,5,3,"0,1",8,16,9,28,32
15/12/2022,"2,2",240,3,3,"0,1",2,9,7,12,41
16/12/2022,"1,4",249,5,4,"0,1",2,11,10,14,34
17/12/2022,"0,6",14,9,4,"0,1",6,17,15,25,18
18/12/2022,"0,6",210,12,4,"0,1",3,11,14,16,18
19/12/2022,"0,7",248,14,4,"0,1",6,19,18,28,23
20/12/2022,"1,4",236,14,4,"0,1",9,17,32,30,17
21/12/2022,"1,8",260,4,3,"0,1",2,9,14,12,45
22/12/2022,1,277,4,3,"0,1",3,12,13,17,34
23/12/2022,"2,4",242,4,3,"0,1",2,10,9,13,34
24/12/2022,"1,5",251,10,3,"0,1",4,12,14,17,28
25/12/2022,"1,2",246,7,4,"0,1",3,9,14,14,32
26/12/2022,"0,3",263,15,4,"0,1",17,26,52,52,10
27/12/2022,"0,5",52,14,4,"0,1",9,23,34,36,16
28/12/2022,"0,8",232,23,4,"0,2",15,18,36,41,20
29/12/2022,"2,2",235,9,4,"0,1",2,9,26,12,36
30/12/2022,"2,1",240,7,3,"0,1",2,8,27,12,41
31/12/2022,"1,1",241,11,4,"0,1",2,11,23,14,34
