Red: Red de Vigilancia y Control de la Contaminaci�n Atmosf�rica,,,,,
Estaci�n: 46250054-Val�ncia - Centre,,,,,

FECHA,PM2.5,NO,NO2,PM10,NOx
03/06/2022,16,2,9,30,12
04/06/2022,17,3,13,32,17
05/06/2022,11,2,11,24,13
06/06/2022,11,4,12,24,18
07/06/2022,14,3,13,26,16
08/06/2022,20,3,15,35,20
09/06/2022,11,4,14,25,20
10/06/2022,12,3,12,25,16
11/06/2022,11,3,13,24,17
12/06/2022,8,2,16,20,19
13/06/2022,8,4,17,24,24
14/06/2022,9,3,15,22,20
15/06/2022,10,3,16,28,20
16/06/2022,12,4,22,28,28
17/06/2022,13,5,23,38,31
18/06/2022,14,2,14,35,17
19/06/2022,15,1,7,32,8
20/06/2022,19,3,12,40,15
21/06/2022,18,3,15,41,19
22/06/2022,12,5,15,35,22
23/06/2022,7,4,19,24,25
24/06/2022,7,4,12,18,17
25/06/2022,9,1,9,20,11
26/06/2022,10,1,6,19,7
27/06/2022,10,2,9,25,12
28/06/2022,8,4,12,20,18
29/06/2022,12,3,12,26,17
30/06/2022,10,2,9,22,12
01/07/2022,10,2,8,24,11
02/07/2022,11,2,9,21,11
03/07/2022,9,2,11,20,13
04/07/2022,10,4,15,24,20
05/07/2022,11,2,9,27,11
06/07/2022,13,2,10,31,12
07/07/2022,9,3,15,22,20
08/07/2022,12,3,18,28,22
09/07/2022,9,2,12,19,14
10/07/2022,9,2,10,18,12
11/07/2022,10,3,17,26,21
12/07/2022,9,3,20,23,24
13/07/2022,12,5,21,31,28
14/07/2022,10,4,15,23,21
15/07/2022,12,5,22,26,30
16/07/2022,13,3,17,28,22
17/07/2022,12,2,13,23,16
18/07/2022,14,4,18,30,24
19/07/2022,16,4,17,31,23
20/07/2022,11,2,10,21,12
21/07/2022,12,3,13,23,18
22/07/2022,14,3,14,27,19
23/07/2022,15,2,9,27,11
24/07/2022,16,2,9,27,12
25/07/2022,17,3,14,33,18
26/07/2022,14,2,10,29,13
27/07/2022,14,2,10,30,13
28/07/2022,16,4,12,39,18
29/07/2022,13,2,9,29,13
30/07/2022,,1,7,,9
31/07/2022,,1,8,,10
01/08/2022,,2,11,,14
02/08/2022,13,4,14,34,19
03/08/2022,12,2,13,36,16
04/08/2022,11,3,13,27,17
05/08/2022,9,2,11,21,15
06/08/2022,9,2,11,19,14
07/08/2022,10,2,8,19,10
08/08/2022,11,2,11,25,14
09/08/2022,11,2,10,25,13
10/08/2022,11,2,10,22,13
11/08/2022,11,3,15,24,18
12/08/2022,13,3,15,33,20
13/08/2022,21,4,13,76,19
14/08/2022,16,2,12,44,15
15/08/2022,16,2,9,33,11
16/08/2022,20,3,10,40,15
17/08/2022,28,3,12,48,16
18/08/2022,25,3,14,38,18
19/08/2022,13,2,13,25,16
20/08/2022,10,2,10,19,13
21/08/2022,11,2,11,21,14
22/08/2022,8,2,10,18,13
23/08/2022,8,2,11,19,14
24/08/2022,8,2,8,18,11
25/08/2022,8,2,9,20,12
26/08/2022,9,3,12,20,17
27/08/2022,7,2,11,16,13
28/08/2022,9,1,8,16,10
29/08/2022,10,3,12,22,16
30/08/2022,14,3,11,30,15
31/08/2022,20,5,14,56,21
01/09/2022,17,3,11,42,15
02/09/2022,13,6,18,33,28
03/09/2022,14,3,14,31,19
04/09/2022,10,1,7,22,8
05/09/2022,11,4,11,26,17
06/09/2022,12,5,17,33,24
07/09/2022,10,8,22,32,33
08/09/2022,9,6,15,27,25
09/09/2022,9,4,16,26,23
10/09/2022,7,2,10,18,13
11/09/2022,8,2,7,17,9
12/09/2022,9,3,11,22,16
13/09/2022,13,5,17,31,24
14/09/2022,9,6,16,24,25
15/09/2022,7,4,14,23,19
16/09/2022,7,3,12,18,17
17/09/2022,9,2,9,20,11
18/09/2022,10,1,9,18,10
19/09/2022,9,3,23,18,27
20/09/2022,10,6,31,21,40
21/09/2022,9,6,34,20,42
22/09/2022,10,2,24,19,27
23/09/2022,12,6,35,23,43
24/09/2022,11,2,22,22,25
25/09/2022,6,1,11,14,13
26/09/2022,6,6,27,15,35
27/09/2022,6,6,33,16,41
28/09/2022,6,8,36,19,48
29/09/2022,5,5,26,15,33
30/09/2022,4,6,28,13,36
01/10/2022,6,4,25,14,30
02/10/2022,10,3,24,27,29
03/10/2022,8,9,43,24,56
04/10/2022,11,16,36,26,60
05/10/2022,8,7,27,22,37
06/10/2022,8,2,19,22,22
07/10/2022,10,5,30,22,37
08/10/2022,12,5,24,26,31
09/10/2022,,5,20,,28
10/10/2022,,13,33,,52
11/10/2022,10,2,25,18,28
12/10/2022,11,2,17,21,20
13/10/2022,13,9,32,26,45
14/10/2022,13,17,50,30,75
15/10/2022,15,7,42,27,53
16/10/2022,15,7,31,29,41
17/10/2022,16,11,33,36,50
18/10/2022,21,8,34,52,47
19/10/2022,27,8,29,64,41
20/10/2022,28,5,33,66,42
21/10/2022,14,8,31,34,43
22/10/2022,13,5,32,30,39
23/10/2022,22,3,25,47,29
24/10/2022,14,21,51,40,84
25/10/2022,19,12,47,44,66
26/10/2022,28,22,48,61,82
27/10/2022,25,10,35,52,50
28/10/2022,22,8,37,44,48
29/10/2022,21,3,31,37,34
30/10/2022,19,2,22,35,25
31/10/2022,21,8,39,41,51
01/11/2022,18,4,24,36,30
02/11/2022,15,9,27,32,40
03/11/2022,12,11,35,30,52
04/11/2022,5,6,25,17,35
05/11/2022,7,7,36,18,46
06/11/2022,8,7,32,20,42
07/11/2022,10,8,42,24,54
08/11/2022,12,16,44,30,69
09/11/2022,7,13,39,19,59
10/11/2022,6,7,28,17,39
11/11/2022,7,9,37,13,50
12/11/2022,13,2,19,27,21
13/11/2022,12,5,25,22,32
14/11/2022,11,18,38,26,65
15/11/2022,6,13,32,14,52
16/11/2022,3,5,21,8,29
17/11/2022,2,5,16,8,23
18/11/2022,5,8,31,12,43
19/11/2022,4,6,26,10,35
20/11/2022,4,5,20,8,27
21/11/2022,3,6,20,9,29
22/11/2022,3,6,21,9,30
23/11/2022,3,5,15,7,23
24/11/2022,6,20,39,13,69
25/11/2022,6,6,24,13,32
26/11/2022,10,11,41,20,57
27/11/2022,11,7,37,18,47
28/11/2022,6,6,30,14,39
29/11/2022,5,9,28,11,42
30/11/2022,10,24,54,26,91
01/12/2022,7,2,24,15,27
02/12/2022,9,2,21,16,24
03/12/2022,12,8,34,19,46
04/12/2022,13,4,32,20,38
05/12/2022,15,6,33,24,42
06/12/2022,20,10,37,32,52
07/12/2022,26,17,40,37,67
08/12/2022,29,10,37,37,52
09/12/2022,8,20,48,16,78
10/12/2022,5,7,26,11,37
11/12/2022,7,4,24,10,30
12/12/2022,14,28,41,25,84
13/12/2022,5,12,32,11,50
14/12/2022,7,22,47,17,80
15/12/2022,5,5,30,11,38
16/12/2022,7,7,34,15,45
17/12/2022,13,11,38,21,55
18/12/2022,13,7,31,18,41
19/12/2022,15,20,44,23,74
20/12/2022,15,26,46,34,86
21/12/2022,6,5,26,16,33
22/12/2022,6,9,33,17,45
23/12/2022,5,9,32,11,45
24/12/2022,10,9,36,16,50
25/12/2022,9,4,31,17,38
26/12/2022,17,29,55,37,98
27/12/2022,15,19,50,30,78
28/12/2022,22,27,50,39,91
29/12/2022,10,8,31,23,43
30/12/2022,9,6,26,25,35
31/12/2022,16,12,43,30,61
